Photons shot: 10000
Input file: ../src/DiamondEulitzBrilliant.obj
Number of bounces: 20
Number of shadow samples: 0
Face_Number Face_Material Normal Area Internal_Bounce Reflected_Rays Rays_Entering_Face Rays_Leaving_Face
0: diamond {0.980786,0,-0.195089} 0.00585272 0 0 0 0
1: diamond {0.831469,0,-0.555572} 0.00585273 0 0 0 0
2: diamond {0.555568,0,-0.831471} 0.00585271 0 0 0 0
3: diamond {0.19509,0,-0.980785} 0.00585269 0 0 0 0
4: diamond {-0.195089,0,-0.980786} 0.00585272 0 0 0 0
5: diamond {-0.555572,0,-0.831469} 0.00585273 0 0 0 0
6: diamond {-0.831471,0,-0.555568} 0.00585271 0 2 0 0
7: diamond {-0.980785,0,-0.19509} 0.00585269 0 0 0 0
8: diamond {-0.980786,0,0.195089} 0.00585272 0 0 0 0
9: diamond {-0.831469,0,0.555572} 0.00585273 0 0 0 0
10: diamond {-0.555568,0,0.831471} 0.00585271 0 0 0 0
11: diamond {-0.195089,0,0.980786} 0.00585272 0 0 0 0
12: diamond {0.195089,0,0.980786} 0.00585272 0 0 0 0
13: diamond {0.55557,0,0.831469} 0.00585269 1 0 0 0
14: diamond {0.831471,0,0.555568} 0.00585271 0 0 0 0
15: diamond {0.608391,0.784357,0.121016} 0.0660459 0 0 4 1
16: diamond {0.515769,0.784357,0.344626} 0.0660462 1 1 1 1
17: diamond {0.515769,0.784357,-0.344626} 0.0660462 4 0 0 0
18: diamond {0.608391,0.784357,-0.121016} 0.0660459 1 0 0 0
19: diamond {0.121016,0.784357,-0.608391} 0.0660459 0 0 1 0
20: diamond {0.344626,0.784357,-0.515769} 0.0660462 0 0 3 1
21: diamond {-0.344626,0.784357,-0.515769} 0.0660462 0 1 2 1
22: diamond {-0.121016,0.784357,-0.608391} 0.0660459 0 1 1 0
23: diamond {-0.608391,0.784357,-0.121016} 0.0660459 0 0 3 0
24: diamond {-0.515769,0.784357,-0.344626} 0.0660462 2 0 1 0
25: diamond {-0.515769,0.784357,0.344626} 0.0660462 1 0 1 0
26: diamond {-0.608391,0.784357,0.121016} 0.0660459 4 0 0 2
27: diamond {-0.121016,0.784357,0.608391} 0.0660461 0 0 1 0
28: diamond {-0.344626,0.784357,0.515768} 0.0660461 4 0 1 0
29: diamond {0.344626,0.784356,0.51577} 0.0660458 0 0 2 0
30: diamond {0.121017,0.784356,0.608392} 0.066046 0 0 0 1
31: diamond {0.295613,0.947428,-0.122447} 0.047302 2 0 3 2
32: diamond {0.382718,0.840865,-0.382718} 0.144373 3 0 2 5
33: diamond {0.122447,0.947428,-0.295613} 0.047302 2 0 0 1
34: diamond {0,0.840864,-0.541246} 0.144373 4 0 8 8
35: diamond {-0.122447,0.947428,-0.295613} 0.047302 1 0 1 1
36: diamond {-0.382718,0.840865,-0.382718} 0.144373 2 1 5 3
37: diamond {-0.295613,0.947428,-0.122447} 0.047302 2 0 1 3
38: diamond {-0.541246,0.840864,0} 0.144373 6 0 4 4
39: diamond {-0.295613,0.947428,0.122447} 0.047302 0 0 2 3
40: diamond {-0.382718,0.840865,0.382718} 0.144373 0 1 7 4
41: diamond {-0.122447,0.947428,0.295613} 0.047302 2 1 2 0
42: diamond {0,0.840864,0.541246} 0.144373 2 2 3 1
43: diamond {0.122447,0.947428,0.295612} 0.047302 0 1 1 1
44: diamond {0.382719,0.840865,0.382718} 0.144373 2 0 3 0
45: diamond {0.295613,0.947428,0.122447} 0.047302 0 0 4 1
46: diamond {0.541246,0.840864,0} 0.144373 3 0 3 3
47: diamond {0,1,0} 0.0564316 3 0 2 1
48: diamond {0.693335,-0.707296,-0.137912} 0.142899 5 0 0 0
49: diamond {0.693335,-0.707296,0.137912} 0.142899 6 0 0 0
